round,number,driver,raw_status,started,on_road_finish,note,source
11,1,Max VerstappenVER,+37.253s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,27,Nico HulkenbergHUL,+54.088s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,11,Sergio PerezPER,+54.672s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,20,Kevin MagnussenMAG,+60.355s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,3,Daniel RicciardoRIC,+61.169s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,10,Pierre GaslyGAS,+61.766s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,16,Charles LeclercLEC,+67.056s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,31,Esteban OconOCO,+68.325s,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,18,Lance StrollSTR,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,22,Yuki TsunodaTSU,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,23,Alexander AlbonALB,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,24,Zhou GuanyuZHO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,14,Fernando AlonsoALO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,2,Logan SargeantSAR,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
11,4,Lando NorrisNOR,+7 laps,1,0,Norris retired in Austria despite +7 laps classification; FIA race report.,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
12,44,Lewis HamiltonHAM,1:22:27.059,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,1,Max VerstappenVER,+1.465s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,4,Lando NorrisNOR,+7.547s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,81,Oscar PiastriPIA,+12.429s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,55,Carlos SainzSAI,+47.318s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,27,Nico HulkenbergHUL,+55.722s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,18,Lance StrollSTR,+56.569s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,14,Fernando AlonsoALO,+63.577s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,23,Alexander AlbonALB,+68.387s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,22,Yuki TsunodaTSU,+79.303s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,2,Logan SargeantSAR,+88.960s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,20,Kevin MagnussenMAG,+90.153s,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,3,Daniel RicciardoRIC,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,16,Charles LeclercLEC,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,31,Esteban OconOCO,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,11,Sergio PerezPER,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,24,Zhou GuanyuZHO,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,63,George RussellRUS,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
12,10,Pierre GaslyGAS,DNS,0,0,,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
13,81,Oscar PiastriPIA,1:38:01.989,1,1,,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
13,4,Lando NorrisNOR,+2.141s,1,1,,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
13,44,Lewis HamiltonHAM,+14.880s,1,1,,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
13,16,Charles LeclercLEC,+19.686s,1,1,,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
13,1,Max VerstappenVER,+21.349s,1,1,,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
